"id","send_date","estimated_age","age_range","channel","coupon","clicked","last_step","nb_units","order_value"
137,2019-04-04,"24","18-30","SMS",6,0,"received",0,0
138,2019-04-21,"30","18-30","SMS",4,0,"received",0,0
139,2019-04-20,"43","31-45","Email",6,0,"received",0,0
140,2019-04-19,"27","18-30","SMS",2,0,"received",0,0
141,2019-04-13,"40","31-45","SMS",2,0,"received",0,0
142,2019-04-24,"50","46-60","Email",6,0,"received",0,0
143,2019-04-08,"52","46-60","Email",2,0,"received",0,0
144,2019-04-27,"63","60+","Email",2,0,"received",0,0
145,2019-04-20,"22","18-30","SMS",6,0,"received",0,0
146,2019-04-26,"25","18-30","Email",2,0,"received",0,0
147,2019-04-09,"18","18-30","SMS",4,0,"received",0,0
148,2019-04-06,"44","31-45","SMS",4,0,"received",0,0
149,2019-04-14,"50","46-60","Email",2,0,"received",0,0
150,2019-04-14,"43","31-45","Email",2,0,"received",0,0
151,2019-04-24,"42","31-45","Email",4,0,"received",0,0
152,2019-04-29,"33","31-45","SMS",6,0,"received",0,0
153,2019-04-06,"22","18-30","SMS",6,0,"received",0,0
154,2019-04-07,"24","18-30","SMS",2,0,"received",0,0
155,2019-04-25,"41","31-45","SMS",2,0,"received",0,0
156,2019-05-01,"44","31-45","SMS",4,0,"received",0,0
157,2019-04-27,"59","46-60","SMS",2,0,"received",0,0
158,2019-04-27,"24","18-30","SMS",2,0,"received",0,0
159,2019-04-12,"39","31-45","Email",2,0,"received",0,0
160,2019-04-29,"26","18-30","Email",2,0,"received",0,0
161,2019-04-21,"59","46-60","Email",4,0,"received",0,0
162,2019-04-19,"23","18-30","Email",2,0,"received",0,0
163,2019-04-14,"22","18-30","Email",2,0,"received",0,0
164,2019-04-28,"39","31-45","SMS",6,0,"received",0,0
165,2019-04-04,"39","31-45","SMS",4,0,"received",0,0
166,2019-04-19,"44","31-45","Email",2,0,"received",0,0
167,2019-04-11,"40","31-45","SMS",4,0,"received",0,0
168,2019-04-30,"23","18-30","SMS",2,0,"received",0,0
169,2019-04-07,"37","31-45","Email",2,0,"received",0,0
170,2019-04-19,"58","46-60","SMS",6,0,"received",0,0
171,2019-04-21,"27","18-30","Email",2,0,"received",0,0
172,2019-04-30,"51","46-60","Email",2,0,"received",0,0
173,2019-04-20,"36","31-45","Email",4,0,"received",0,0
174,2019-04-26,"43","31-45","SMS",2,0,"received",0,0
175,2019-04-26,"31","31-45","SMS",2,0,"received",0,0
176,2019-04-15,"50","46-60","SMS",4,0,"received",0,0
177,2019-04-28,"27","18-30","SMS",4,0,"received",0,0
178,2019-04-11,"57","46-60","Email",2,0,"received",0,0
179,2019-04-15,"33","31-45","SMS",2,0,"received",0,0
180,2019-04-23,"35","31-45","Email",4,0,"received",0,0
181,2019-04-15,"55","46-60","Email",2,0,"received",0,0
182,2019-04-14,"41","31-45","SMS",2,0,"received",0,0
183,2019-04-11,"26","18-30","Email",4,0,"received",0,0
184,2019-04-23,"24","18-30","Email",2,0,"received",0,0
185,2019-04-11,"45","31-45","SMS",2,0,"received",0,0
186,2019-04-02,"43","31-45","SMS",2,0,"received",0,0
187,2019-04-19,"57","46-60","Email",2,0,"received",0,0
188,2019-04-25,"58","46-60","SMS",2,0,"received",0,0
189,2019-04-20,"52","46-60","SMS",2,0,"received",0,0
190,2019-04-08,"36","31-45","SMS",2,0,"received",0,0
191,2019-04-21,"34","31-45","Email",6,0,"received",0,0
192,2019-04-21,"30","18-30","Email",2,0,"received",0,0
193,2019-04-20,"32","31-45","SMS",2,0,"received",0,0
194,2019-04-26,"19","18-30","SMS",2,0,"received",0,0
195,2019-04-06,"40","31-45","Email",2,0,"received",0,0
196,2019-04-14,"36","31-45","SMS",2,0,"received",0,0
197,2019-05-01,"67","60+","SMS",4,0,"received",0,0
198,2019-04-30,"38","31-45","Email",2,0,"received",0,0
199,2019-04-02,"35","31-45","Email",2,0,"received",0,0
200,2019-04-26,"44","31-45","SMS",2,0,"received",0,0
201,2019-04-18,"43","31-45","Email",2,0,"received",0,0
202,2019-04-06,"38","31-45","SMS",2,0,"received",0,0
203,2019-04-24,"50","46-60","SMS",2,0,"received",0,0
204,2019-04-27,"58","46-60","SMS",2,0,"received",0,0
205,2019-04-25,"75","60+","Email",2,0,"received",0,0
206,2019-04-20,"19","18-30","SMS",2,0,"received",0,0
207,2019-04-06,"56","46-60","Email",2,0,"received",0,0
208,2019-04-09,"24","18-30","SMS",2,0,"received",0,0
209,2019-04-16,"36","31-45","SMS",2,0,"received",0,0
210,2019-04-07,"71","60+","Email",2,0,"received",0,0
211,2019-04-16,"18","18-30","Email",2,0,"received",0,0
212,2019-04-12,"55","46-60","SMS",6,0,"received",0,0
213,2019-04-08,"28","18-30","Email",2,0,"received",0,0
214,2019-04-19,"44","31-45","Email",2,0,"received",0,0
215,2019-04-25,"26","18-30","Email",4,0,"received",0,0
216,2019-04-01,"54","46-60","SMS",2,0,"received",0,0
217,2019-04-27,"30","18-30","Email",4,0,"received",0,0
218,2019-04-26,"21","18-30","Email",4,0,"received",0,0
219,2019-04-20,"33","31-45","SMS",4,0,"received",0,0
220,2019-04-02,"29","18-30","SMS",4,0,"received",0,0
221,2019-04-10,"45","31-45","Email",6,0,"received",0,0
222,2019-04-24,"44","31-45","Email",2,0,"received",0,0
223,2019-04-05,"36","31-45","SMS",6,0,"received",0,0
224,2019-04-21,"23","18-30","SMS",4,0,"received",0,0
225,2019-04-25,"18","18-30","SMS",4,0,"received",0,0
226,2019-04-27,"18","18-30","Email",4,0,"received",0,0
227,2019-04-06,"53","46-60","Email",4,0,"received",0,0
228,2019-04-21,"36","31-45","SMS",4,0,"received",0,0
229,2019-04-27,"73","60+","Email",4,0,"received",0,0
230,2019-04-25,"37","31-45","Email",2,0,"received",0,0
231,2019-04-29,"35","31-45","SMS",4,0,"received",0,0
232,2019-04-24,"28","18-30","Email",2,0,"received",0,0
233,2019-04-15,"53","46-60","SMS",4,0,"received",0,0
234,2019-04-09,"38","31-45","SMS",6,0,"received",0,0
235,2019-05-01,"57","46-60","SMS",6,0,"received",0,0
236,2019-04-06,"58","46-60","SMS",2,1,"bounced",0,0
237,2019-04-02,"22","18-30","SMS",2,0,"received",0,0
238,2019-04-05,"21","18-30","SMS",2,0,"received",0,0
239,2019-05-01,"20","18-30","SMS",2,0,"received",0,0
240,2019-04-17,"20","18-30","SMS",2,0,"received",0,0
241,2019-04-16,"42","31-45","SMS",2,0,"received",0,0
242,2019-04-25,"46","46-60","Email",2,0,"received",0,0
243,2019-04-30,"55","46-60","Email",4,0,"received",0,0
244,2019-04-17,"58","46-60","Email",2,0,"received",0,0
245,2019-04-12,"45","31-45","Email",4,0,"received",0,0
246,2019-04-18,"18","18-30","Email",6,0,"received",0,0
247,2019-04-14,"44","31-45","SMS",2,0,"received",0,0
248,2019-04-04,"60","60+","SMS",2,0,"received",0,0
249,2019-04-19,"41","31-45","SMS",6,0,"received",0,0
250,2019-04-07,"35","31-45","Email",2,0,"received",0,0
251,2019-04-24,"57","46-60","Email",4,0,"received",0,0
252,2019-04-07,"41","31-45","Email",2,0,"received",0,0
253,2019-04-09,"65","60+","Email",2,0,"received",0,0
254,2019-04-22,"52","46-60","Email",2,1,"payment page",0,0
255,2019-05-01,"72","60+","Email",2,1,"bounced",0,0
256,2019-04-12,"38","31-45","SMS",4,0,"received",0,0
257,2019-04-17,"64","60+","Email",4,0,"received",0,0
258,2019-04-29,"26","18-30","SMS",2,0,"received",0,0
259,2019-04-24,"39","31-45","Email",2,0,"received",0,0
260,2019-04-09,"47","46-60","Email",6,0,"received",0,0
261,2019-04-05,"23","18-30","SMS",2,0,"received",0,0
262,2019-04-23,"30","18-30","Email",2,0,"received",0,0
263,2019-04-25,"22","18-30","Email",4,0,"received",0,0
264,2019-04-05,"57","46-60","Email",2,0,"received",0,0
265,2019-04-16,"20","18-30","Email",2,0,"received",0,0
266,2019-04-01,"42","31-45","SMS",2,0,"received",0,0
267,2019-04-15,"29","18-30","Email",4,0,"received",0,0
268,2019-04-26,"54","46-60","SMS",2,0,"received",0,0
269,2019-04-10,"18","18-30","Email",2,0,"received",0,0
270,2019-04-10,"47","46-60","SMS",4,0,"received",0,0
271,2019-04-10,"21","18-30","Email",2,0,"received",0,0
272,2019-04-13,"51","46-60","SMS",2,0,"received",0,0
273,2019-04-01,"57","46-60","SMS",2,0,"received",0,0
274,2019-04-24,"37","31-45","SMS",6,0,"received",0,0
275,2019-04-27,"43","31-45","SMS",4,0,"received",0,0
276,2019-04-09,"70","60+","SMS",4,0,"received",0,0
277,2019-04-12,"33","31-45","Email",2,0,"received",0,0
278,2019-04-20,"34","31-45","SMS",2,0,"received",0,0
279,2019-04-13,"29","18-30","SMS",2,0,"received",0,0
280,2019-04-30,"23","18-30","Email",2,0,"received",0,0
281,2019-04-08,"40","31-45","SMS",2,0,"received",0,0
282,2019-04-12,"27","18-30","SMS",4,0,"received",0,0
283,2019-04-30,"21","18-30","SMS",2,0,"received",0,0
284,2019-04-01,"26","18-30","Email",4,0,"received",0,0
285,2019-04-28,"21","18-30","Email",2,0,"received",0,0
286,2019-04-12,"33","31-45","Email",2,0,"received",0,0
287,2019-04-16,"32","31-45","Email",2,0,"received",0,0
288,2019-04-12,"74","60+","Email",2,0,"received",0,0
289,2019-04-01,"33","31-45","Email",6,0,"received",0,0
290,2019-04-02,"54","46-60","Email",4,0,"received",0,0
291,2019-04-17,"19","18-30","Email",2,0,"received",0,0
292,2019-04-01,"59","46-60","Email",2,0,"received",0,0
293,2019-04-10,"22","18-30","SMS",2,0,"received",0,0
294,2019-04-23,"19","18-30","Email",2,0,"received",0,0
295,2019-04-21,"26","18-30","Email",2,0,"received",0,0
296,2019-04-20,"53","46-60","SMS",4,0,"received",0,0
297,2019-04-16,"68","60+","SMS",2,0,"received",0,0
298,2019-04-17,"24","18-30","SMS",2,0,"received",0,0
299,2019-04-09,"34","31-45","Email",6,0,"received",0,0
300,2019-04-28,"70","60+","Email",2,0,"received",0,0
301,2019-04-11,"28","18-30","SMS",2,0,"received",0,0
302,2019-04-11,"60","60+","SMS",2,0,"received",0,0
303,2019-04-10,"34","31-45","SMS",4,0,"received",0,0
304,2019-04-20,"73","60+","SMS",4,0,"received",0,0
305,2019-04-27,"41","31-45","Email",2,0,"received",0,0
306,2019-04-05,"43","31-45","SMS",2,0,"received",0,0
307,2019-04-09,"18","18-30","Email",2,0,"received",0,0
308,2019-04-19,"32","31-45","Email",2,0,"received",0,0
309,2019-04-04,"42","31-45","SMS",2,0,"received",0,0
310,2019-04-23,"46","46-60","SMS",4,1,"bounced",0,0
311,2019-04-04,"20","18-30","SMS",2,0,"received",0,0
312,2019-04-09,"52","46-60","Email",6,0,"received",0,0
313,2019-04-09,"43","31-45","SMS",2,0,"received",0,0
314,2019-04-01,"54","46-60","SMS",4,0,"received",0,0
315,2019-05-01,"23","18-30","Email",6,0,"received",0,0
316,2019-04-28,"59","46-60","SMS",6,0,"received",0,0
317,2019-04-20,"56","46-60","Email",2,0,"received",0,0
318,2019-04-18,"28","18-30","SMS",2,1,"bounced",0,0
319,2019-04-02,"40","31-45","Email",4,0,"received",0,0
320,2019-04-05,"26","18-30","Email",2,0,"received",0,0
321,2019-04-10,"27","18-30","Email",2,0,"received",0,0
322,2019-04-08,"49","46-60","Email",2,0,"received",0,0
323,2019-05-01,"18","18-30","Email",2,0,"received",0,0
324,2019-04-15,"18","18-30","SMS",4,0,"received",0,0
325,2019-04-14,"33","31-45","SMS",6,0,"received",0,0
326,2019-04-08,"35","31-45","Email",2,0,"received",0,0
327,2019-05-01,"41","31-45","SMS",2,0,"received",0,0
328,2019-04-20,"23","18-30","SMS",4,0,"received",0,0
329,2019-04-05,"44","31-45","Email",6,0,"received",0,0
330,2019-04-08,"18","18-30","SMS",6,0,"received",0,0
331,2019-04-30,"39","31-45","SMS",6,0,"received",0,0
332,2019-04-17,"41","31-45","Email",6,0,"received",0,0
333,2019-04-28,"32","31-45","Email",2,0,"received",0,0
334,2019-04-03,"18","18-30","Email",2,0,"received",0,0
335,2019-04-12,"34","31-45","Email",4,0,"received",0,0
336,2019-04-27,"51","46-60","SMS",2,0,"received",0,0
337,2019-04-03,"40","31-45","Email",2,0,"received",0,0
338,2019-05-01,"20","18-30","SMS",2,0,"received",0,0
339,2019-04-26,"39","31-45","Email",2,0,"received",0,0
340,2019-04-09,"35","31-45","Email",4,0,"received",0,0
341,2019-05-01,"38","31-45","Email",4,0,"received",0,0
342,2019-04-03,"36","31-45","SMS",2,0,"received",0,0
343,2019-04-05,"49","46-60","Email",4,0,"received",0,0
344,2019-04-02,"29","18-30","SMS",4,0,"received",0,0
345,2019-04-22,"44","31-45","Email",6,1,"saw review",0,0
346,2019-04-03,"31","31-45","Email",2,0,"received",0,0
347,2019-04-27,"44","31-45","SMS",4,0,"received",0,0
348,2019-04-15,"37","31-45","SMS",4,0,"received",0,0
349,2019-05-01,"31","31-45","SMS",2,0,"received",0,0
350,2019-04-08,"40","31-45","Email",2,1,"bounced",0,0
351,2019-04-08,"32","31-45","Email",2,0,"received",0,0
352,2019-04-16,"32","31-45","Email",6,0,"received",0,0
353,2019-04-26,"22","18-30","SMS",4,0,"received",0,0
354,2019-04-30,"18","18-30","SMS",4,0,"received",0,0
355,2019-04-06,"30","18-30","Email",2,0,"received",0,0
356,2019-04-07,"28","18-30","SMS",2,0,"received",0,0
357,2019-04-21,"31","31-45","Email",6,0,"received",0,0
358,2019-04-25,"25","18-30","Email",4,0,"received",0,0
359,2019-04-05,"48","46-60","Email",2,0,"received",0,0
360,2019-04-23,"42","31-45","Email",6,0,"received",0,0
361,2019-04-15,"32","31-45","Email",2,0,"received",0,0
362,2019-04-08,"23","18-30","Email",2,0,"received",0,0
363,2019-04-15,"39","31-45","Email",6,0,"received",0,0
364,2019-04-12,"68","60+","SMS",2,0,"received",0,0
365,2019-04-02,"41","31-45","Email",6,0,"received",0,0
366,2019-04-30,"23","18-30","Email",6,0,"received",0,0
367,2019-04-11,"67","60+","Email",4,0,"received",0,0
368,2019-04-16,"58","46-60","SMS",2,1,"added to cart",0,0
369,2019-04-18,"28","18-30","SMS",4,0,"received",0,0
370,2019-04-02,"32","31-45","SMS",2,0,"received",0,0
371,2019-04-15,"23","18-30","Email",2,0,"received",0,0
372,2019-04-13,"21","18-30","Email",2,0,"received",0,0
373,2019-04-27,"26","18-30","SMS",2,0,"received",0,0
374,2019-04-25,"32","31-45","SMS",6,0,"received",0,0
375,2019-04-26,"27","18-30","Email",2,0,"received",0,0
376,2019-04-30,"59","46-60","SMS",2,0,"received",0,0
377,2019-04-08,"36","31-45","SMS",4,0,"received",0,0
378,2019-04-19,"22","18-30","SMS",2,0,"received",0,0
379,2019-04-07,"27","18-30","SMS",2,0,"received",0,0
380,2019-04-15,"20","18-30","Email",2,0,"received",0,0
381,2019-04-08,"19","18-30","Email",2,0,"received",0,0
382,2019-04-03,"50","46-60","SMS",2,0,"received",0,0
383,2019-04-26,"39","31-45","Email",2,0,"received",0,0
384,2019-04-20,"30","18-30","Email",6,0,"received",0,0
385,2019-04-02,"39","31-45","SMS",2,0,"received",0,0
386,2019-04-02,"44","31-45","SMS",2,0,"received",0,0
387,2019-05-01,"23","18-30","SMS",2,0,"received",0,0
388,2019-04-03,"22","18-30","Email",4,0,"received",0,0
389,2019-04-23,"66","60+","Email",4,0,"received",0,0
390,2019-04-30,"31","31-45","SMS",2,0,"received",0,0
391,2019-04-16,"19","18-30","SMS",6,0,"received",0,0
392,2019-04-09,"27","18-30","Email",2,0,"received",0,0
393,2019-04-11,"62","60+","SMS",2,0,"received",0,0
394,2019-04-01,"45","31-45","Email",2,0,"received",0,0
395,2019-04-25,"22","18-30","SMS",4,1,"saw review",0,0
396,2019-04-13,"33","31-45","SMS",2,0,"received",0,0
397,2019-04-05,"75","60+","SMS",2,0,"received",0,0
398,2019-04-01,"23","18-30","SMS",2,0,"received",0,0
399,2019-04-07,"20","18-30","SMS",6,0,"received",0,0
400,2019-04-26,"45","31-45","SMS",2,0,"received",0,0
401,2019-04-13,"47","46-60","SMS",6,0,"received",0,0
402,2019-04-17,"44","31-45","Email",4,0,"received",0,0
403,2019-04-10,"21","18-30","Email",2,0,"received",0,0
404,2019-04-03,"24","18-30","SMS",2,0,"received",0,0
405,2019-05-01,"23","18-30","SMS",6,1,"saw review",0,0
406,2019-04-05,"39","31-45","Email",4,0,"received",0,0
407,2019-04-06,"21","18-30","SMS",6,0,"received",0,0
408,2019-04-30,"33","31-45","SMS",2,0,"received",0,0
409,2019-04-14,"58","46-60","Email",2,0,"received",0,0
410,2019-04-18,"25","18-30","SMS",2,0,"received",0,0
411,2019-04-15,"40","31-45","Email",2,0,"received",0,0
412,2019-04-13,"55","46-60","Email",6,0,"received",0,0
413,2019-04-26,"31","31-45","Email",4,0,"received",0,0
414,2019-04-23,"39","31-45","Email",4,0,"received",0,0
415,2019-04-16,"38","31-45","SMS",4,0,"received",0,0
416,2019-04-05,"36","31-45","Email",2,0,"received",0,0
417,2019-04-26,"68","60+","SMS",2,0,"received",0,0
418,2019-04-02,"36","31-45","Email",6,0,"received",0,0
419,2019-04-05,"30","18-30","SMS",4,0,"received",0,0
420,2019-04-25,"44","31-45","SMS",6,1,"saw review",0,0
421,2019-04-28,"23","18-30","Email",6,0,"received",0,0
422,2019-05-01,"26","18-30","Email",2,0,"received",0,0
423,2019-04-21,"70","60+","Email",2,0,"received",0,0
424,2019-04-30,"26","18-30","Email",2,0,"received",0,0
425,2019-04-15,"29","18-30","SMS",4,0,"received",0,0
426,2019-04-13,"24","18-30","Email",2,0,"received",0,0
427,2019-04-07,"51","46-60","SMS",2,0,"received",0,0
428,2019-04-22,"27","18-30","SMS",2,1,"saw review",0,0
429,2019-04-21,"26","18-30","Email",2,0,"received",0,0
430,2019-04-20,"25","18-30","SMS",4,0,"received",0,0
431,2019-04-26,"37","31-45","Email",4,0,"received",0,0
432,2019-04-08,"18","18-30","Email",4,0,"received",0,0
433,2019-04-21,"19","18-30","SMS",2,0,"received",0,0
434,2019-04-23,"19","18-30","SMS",4,0,"received",0,0
435,2019-04-01,"30","18-30","SMS",2,0,"received",0,0
436,2019-04-06,"69","60+","SMS",2,0,"received",0,0
437,2019-04-23,"24","18-30","SMS",4,0,"received",0,0
438,2019-04-02,"56","46-60","SMS",2,0,"received",0,0
439,2019-04-23,"57","46-60","SMS",2,0,"received",0,0
440,2019-04-02,"30","18-30","SMS",2,0,"received",0,0
441,2019-04-10,"43","31-45","Email",2,0,"received",0,0
442,2019-04-03,"30","18-30","SMS",2,0,"received",0,0
443,2019-04-01,"71","60+","Email",6,0,"received",0,0
444,2019-04-18,"35","31-45","SMS",2,0,"received",0,0
445,2019-04-21,"50","46-60","Email",2,1,"saw review",0,0
446,2019-04-13,"22","18-30","Email",2,0,"received",0,0
447,2019-04-11,"31","31-45","SMS",6,0,"received",0,0
448,2019-04-17,"51","46-60","Email",2,0,"received",0,0
449,2019-04-22,"32","31-45","Email",6,0,"received",0,0
450,2019-04-10,"27","18-30","Email",6,0,"received",0,0
451,2019-04-06,"31","31-45","Email",2,0,"received",0,0
452,2019-04-27,"69","60+","Email",2,0,"received",0,0
453,2019-05-01,"44","31-45","SMS",2,0,"received",0,0
454,2019-04-24,"38","31-45","SMS",2,0,"received",0,0
455,2019-04-30,"29","18-30","SMS",4,0,"received",0,0
